"Date","Price","Open","High","Low","Vol.","Change %"
"31/07/2024","24,951.15","24,886.70","24,984.60","24,856.50","333.65B","0.38%"
"30/07/2024","24,857.30","24,839.40","24,971.75","24,798.65","384.99B","0.09%"
"29/07/2024","24,836.10","24,943.30","24,999.75","24,774.60","354.97M","0.01%"
"26/07/2024","24,834.85","24,423.35","24,861.15","24,410.90","383.83M","1.76%"
"25/07/2024","24,406.10","24,230.95","24,426.15","24,210.80","391.82M","-0.03%"
"24/07/2024","24,413.50","24,444.95","24,504.25","24,307.25","366.62M","-0.27%"
"23/07/2024","24,479.05","24,568.90","24,582.55","24,074.20","436.41M","-0.12%"
"22/07/2024","24,509.25","24,445.75","24,595.20","24,362.30","324.19M","-0.09%"
"19/07/2024","24,530.90","24,853.80","24,854.80","24,508.15","343.77M","-1.09%"
"18/07/2024","24,800.85","24,543.80","24,837.75","24,504.45","350.92M","0.76%"
"16/07/2024","24,613.00","24,615.90","24,661.25","24,587.65","283.21M","0.11%"
"15/07/2024","24,586.70","24,587.60","24,635.05","24,522.75","305.40M","0.35%"
"12/07/2024","24,502.15","24,387.95","24,592.20","24,331.15","325.82M","0.77%"
"11/07/2024","24,315.95","24,396.55","24,402.65","24,193.75","306.40M","-0.03%"
"10/07/2024","24,324.45","24,459.85","24,461.05","24,141.80","292.26M","-0.45%"
"09/07/2024","24,433.20","24,351.00","24,443.60","24,331.90","250.54M","0.46%"
"08/07/2024","24,320.55","24,329.45","24,344.60","24,240.55","266.30M","-0.01%"
"05/07/2024","24,323.85","24,213.35","24,363.00","24,168.85","298.38M","0.09%"
"04/07/2024","24,302.15","24,369.95","24,401.00","24,281.00","251.19M","0.06%"
"03/07/2024","24,286.50","24,291.75","24,309.15","24,207.10","289.20M","0.67%"
"02/07/2024","24,123.85","24,228.75","24,236.35","24,056.40","309.63M","-0.07%"
"01/07/2024","24,141.95","23,992.95","24,164.00","23,992.70","242.47M","0.55%"
"28/06/2024","24,010.60","24,085.90","24,174.00","23,985.80","354.78M","-0.14%"
"27/06/2024","24,044.50","23,881.55","24,087.45","23,805.40","515.23M","0.74%"
