"Date","Price","Open","High","Low","Vol.","Change %"
"31/07/2024","1,544.30","1,530.10","1,548.55","1,523.55","1.65M","1.01%"
"30/07/2024","1,528.90","1,554.00","1,564.05","1,526.00","2.99M","-1.61%"
"29/07/2024","1,553.95","1,588.00","1,589.00","1,528.80","3.98M","-1.34%"
"26/07/2024","1,575.00","1,504.75","1,600.00","1,501.00","4.69M","5.00%"
"25/07/2024","1,500.05","1,498.00","1,508.70","1,489.80","2.20M","-0.23%"
"24/07/2024","1,503.50","1,495.35","1,511.30","1,485.00","2.27M","0.37%"
"23/07/2024","1,497.90","1,490.00","1,504.00","1,475.15","1.24M","0.53%"
"22/07/2024","1,490.00","1,475.05","1,507.05","1,470.65","1.33M","0.30%"
"19/07/2024","1,485.50","1,501.60","1,506.00","1,480.20","868.26K","-1.40%"
"18/07/2024","1,506.65","1,497.00","1,513.00","1,485.60","2.17M","-0.25%"
"16/07/2024","1,510.40","1,517.20","1,524.45","1,503.10","963.20K","-0.45%"
"15/07/2024","1,517.20","1,516.60","1,531.95","1,513.25","1.83M","0.34%"
"12/07/2024","1,512.05","1,506.05","1,515.00","1,502.40","1.19M","0.40%"
"11/07/2024","1,506.00","1,517.00","1,519.00","1,495.00","1.31M","-0.48%"
"10/07/2024","1,513.20","1,512.10","1,517.25","1,492.25","671.04K","0.08%"
"09/07/2024","1,512.05","1,496.90","1,515.00","1,487.30","1.79M","1.68%"
"08/07/2024","1,487.05","1,516.00","1,524.65","1,483.20","1.52M","-1.51%"
"05/07/2024","1,509.90","1,487.00","1,516.00","1,486.00","2.19M","1.97%"
"04/07/2024","1,480.75","1,477.75","1,488.95","1,467.00","1.50M","-0.20%"
"03/07/2024","1,483.75","1,494.00","1,500.00","1,474.60","1.06M","-0.33%"
"02/07/2024","1,488.65","1,480.00","1,492.75","1,479.25","1.19M","0.65%"
"01/07/2024","1,479.10","1,484.95","1,493.70","1,472.20","1.31M","-0.11%"
"28/06/2024","1,480.80","1,486.30","1,492.20","1,476.05","2.09M","-0.01%"
"27/06/2024","1,480.90","1,481.00","1,486.20","1,465.30","2.79M","0.12%"
"26/06/2024","1,479.10","1,503.70","1,507.20","1,475.00","1.93M","-1.37%"
"25/06/2024","1,499.70","1,511.60","1,517.80","1,495.50","1.20M","-0.31%"
"24/06/2024","1,504.40","1,528.00","1,528.00","1,495.05","1.28M","-2.41%"
"21/06/2024","1,541.55","1,549.90","1,562.90","1,533.50","2.61M","-0.21%"
"20/06/2024","1,544.85","1,558.00","1,559.15","1,540.00","1.71M","-0.96%"
"19/06/2024","1,559.80","1,577.40","1,582.00","1,553.40","1.88M","-0.95%"
"18/06/2024","1,574.80","1,570.00","1,576.95","1,563.60","2.07M","0.64%"
"14/06/2024","1,564.75","1,545.00","1,567.00","1,535.80","1.85M","1.31%"
"13/06/2024","1,544.55","1,550.00","1,551.00","1,520.40","1.53M","0.23%"
"12/06/2024","1,540.95","1,542.45","1,549.00","1,532.00","1.58M","0.70%"
"11/06/2024","1,530.25","1,545.00","1,546.45","1,527.00","1.70M","-0.26%"
"10/06/2024","1,534.25","1,506.90","1,540.85","1,502.00","2.75M","2.47%"
"07/06/2024","1,497.25","1,484.00","1,503.40","1,479.30","1.59M","1.37%"
"06/06/2024","1,477.00","1,500.00","1,501.00","1,464.00","1.61M","-1.33%"
"05/06/2024","1,496.95","1,490.00","1,514.00","1,466.85","1.83M","2.35%"
"04/06/2024","1,462.55","1,460.00","1,476.95","1,418.55","2.05M","0.70%"
"03/06/2024","1,452.35","1,482.00","1,483.00","1,446.05","1.34M","0.36%"
"31/05/2024","1,447.20","1,466.95","1,472.70","1,440.00","3.27M","-1.32%"
"30/05/2024","1,466.60","1,495.05","1,496.55","1,454.00","1.73M","-1.80%"
"29/05/2024","1,493.55","1,475.25","1,497.60","1,472.60","1.61M","0.95%"
"28/05/2024","1,479.45","1,482.95","1,494.75","1,475.20","784.50K","0.05%"
"27/05/2024","1,478.65","1,491.00","1,492.55","1,475.20","1.39M","-0.52%"
"24/05/2024","1,486.45","1,489.15","1,493.90","1,479.05","758.33K","-0.18%"
"23/05/2024","1,489.15","1,482.00","1,504.55","1,462.70","4.39M","0.46%"
"22/05/2024","1,482.30","1,450.95","1,494.80","1,437.25","4.22M","2.77%"
"21/05/2024","1,442.30","1,410.00","1,445.95","1,396.40","2.94M","2.72%"
"18/05/2024","1,404.05","1,403.90","1,407.30","1,400.25","60.54K","0.36%"
"17/05/2024","1,399.05","1,417.10","1,419.90","1,396.40","3.44M","-1.55%"
"16/05/2024","1,421.10","1,409.00","1,425.90","1,387.30","3.23M","1.02%"
"15/05/2024","1,406.70","1,395.00","1,428.45","1,386.70","7.89M","3.64%"
"14/05/2024","1,357.35","1,410.00","1,410.00","1,350.10","3.72M","-4.05%"
"13/05/2024","1,414.65","1,371.00","1,425.95","1,369.55","7.91M","5.61%"
"10/05/2024","1,339.55","1,371.35","1,396.90","1,317.25","5.08M","-1.42%"
"09/05/2024","1,358.80","1,387.85","1,392.20","1,353.00","1.15M","-1.87%"
"08/05/2024","1,384.75","1,375.05","1,398.15","1,375.05","1.50M","-0.18%"
"07/05/2024","1,387.20","1,423.40","1,428.85","1,377.75","1.09M","-2.54%"
"06/05/2024","1,423.40","1,431.00","1,431.85","1,405.05","929.30K","-0.09%"
"03/05/2024","1,424.75","1,428.00","1,434.00","1,415.20","804.51K","0.33%"
"02/05/2024","1,420.05","1,400.00","1,426.00","1,398.15","1.54M","1.43%"
"30/04/2024","1,400.00","1,415.05","1,418.95","1,395.05","1.33M","-0.57%"
"29/04/2024","1,408.00","1,419.00","1,420.10","1,392.40","1.08M","-0.08%"
"26/04/2024","1,409.15","1,413.10","1,417.20","1,401.25","695.03K","0.21%"
"25/04/2024","1,406.20","1,407.00","1,410.45","1,384.10","2.03M","0.57%"
"24/04/2024","1,398.20","1,353.45","1,401.90","1,352.20","4.42M","3.82%"
"23/04/2024","1,346.70","1,369.75","1,369.75","1,344.50","1.03M","-0.60%"
"22/04/2024","1,354.85","1,350.25","1,361.95","1,348.00","974.43K","0.68%"
"19/04/2024","1,345.75","1,347.00","1,357.70","1,335.00","1.17M","-0.12%"
"18/04/2024","1,347.30","1,376.00","1,383.65","1,342.40","2.97M","-2.03%"
"16/04/2024","1,375.20","1,385.00","1,391.95","1,371.55","1.43M","-0.45%"
"15/04/2024","1,381.40","1,389.95","1,399.00","1,375.55","1.13M","-1.10%"
"12/04/2024","1,396.80","1,423.00","1,424.85","1,388.00","2.19M","-1.84%"
