"Date","Price","Open","High","Low","Vol.","Change %"
"31/07/2024","21,777.15","21,566.65","21,824.70","21,566.65","32.59M","1.10%"
"30/07/2024","21,540.80","21,667.40","21,754.95","21,516.50","19.48M","-0.62%"
"29/07/2024","21,674.95","21,701.55","21,745.25","21,474.75","25.97M","0.33%"
"26/07/2024","21,603.10","21,184.60","21,703.30","21,159.00","37.68M","2.36%"
"25/07/2024","21,105.50","20,817.45","21,139.30","20,739.15","30.32M","0.94%"
"24/07/2024","20,908.50","20,790.55","20,962.55","20,670.25","23.30M","0.74%"
"23/07/2024","20,755.35","20,644.85","20,788.40","20,329.45","20.71M","0.55%"
"22/07/2024","20,641.55","20,319.70","20,716.45","20,275.25","15.76M","1.06%"
"19/07/2024","20,425.40","20,706.15","20,722.20","20,398.45","15.81M","-1.65%"
"18/07/2024","20,768.35","20,737.00","20,805.25","20,563.70","19.40M","0.01%"
"16/07/2024","20,765.45","20,869.95","20,913.50","20,729.85","14.58M","-0.38%"
"15/07/2024","20,844.55","20,705.80","20,960.30","20,675.20","22.88M","1.13%"
"12/07/2024","20,612.65","20,631.10","20,653.35","20,501.15","16.29M","0.05%"
"11/07/2024","20,601.70","20,781.80","20,804.25","20,525.50","18.05M","-0.60%"
"10/07/2024","20,725.95","20,731.20","20,743.10","20,351.35","20.22M","0.39%"
"09/07/2024","20,645.80","20,396.70","20,670.85","20,308.00","20.69M","1.57%"
"08/07/2024","20,325.80","20,493.20","20,575.35","20,283.00","21.63M","-0.63%"
"05/07/2024","20,453.85","20,237.50","20,516.10","20,230.10","41.39M","1.29%"
"04/07/2024","20,192.60","19,955.70","20,238.60","19,872.95","33.82M","1.39%"
"03/07/2024","19,915.30","19,813.55","19,965.80","19,707.90","24.46M","0.65%"
"02/07/2024","19,786.40","19,776.70","19,818.75","19,697.35","20.22M","0.14%"
"01/07/2024","19,758.25","19,794.85","19,823.35","19,660.95","24.63M","0.14%"
"28/06/2024","19,731.55","19,557.65","19,797.90","19,555.65","23.37M","1.11%"
