"Date","Price","Open","High","Low","Vol.","Change %"
"31/07/2024","6,750.50","6,803.90","6,829.50","6,735.00","346.17K","-0.79%"
"30/07/2024","6,804.15","6,845.05","6,891.00","6,792.90","291.70K","-0.52%"
"29/07/2024","6,840.05","6,920.00","6,948.10","6,735.00","654.39K","-0.56%"
"26/07/2024","6,878.65","6,888.95","6,966.00","6,791.60","410.39K","0.37%"
"25/07/2024","6,853.20","6,795.00","6,874.95","6,757.05","263.11K","0.48%"
"24/07/2024","6,820.15","6,938.90","6,938.90","6,793.25","603.88K","-0.65%"
"23/07/2024","6,865.00","6,770.00","6,884.00","6,717.00","866.09K","1.39%"
"22/07/2024","6,770.90","6,580.00","6,780.00","6,580.00","412.29K","2.03%"
"19/07/2024","6,636.00","6,660.00","6,718.40","6,626.30","180.07K","-0.47%"
"18/07/2024","6,667.50","6,646.00","6,708.85","6,590.40","385.71K","0.32%"
"16/07/2024","6,646.05","6,759.95","6,782.95","6,636.65","311.28K","-2.19%"
"15/07/2024","6,794.75","6,750.00","6,884.95","6,702.55","604.80K","1.12%"
"12/07/2024","6,719.45","6,590.25","6,745.00","6,564.70","588.88K","1.89%"
"11/07/2024","6,594.75","6,593.15","6,621.95","6,534.85","316.27K","0.03%"
"10/07/2024","6,592.55","6,574.50","6,604.45","6,483.00","257.51K","0.15%"
"09/07/2024","6,582.85","6,540.00","6,595.00","6,430.95","346.93K","0.75%"
"08/07/2024","6,534.15","6,520.00","6,575.00","6,486.00","161.48K","0.22%"
"05/07/2024","6,520.00","6,479.35","6,547.15","6,456.05","227.84K","0.63%"
"04/07/2024","6,479.35","6,430.00","6,542.00","6,370.10","348.85K","0.83%"
"03/07/2024","6,425.90","6,374.00","6,525.80","6,365.15","582.64K","0.87%"
"02/07/2024","6,370.25","6,345.00","6,380.95","6,284.25","363.82K","0.26%"
"01/07/2024","6,353.70","6,430.00","6,480.00","6,337.15","450.39K","-0.76%"
"28/06/2024","6,402.35","6,255.45","6,420.00","6,251.05","1.02M","2.67%"
"27/06/2024","6,235.90","6,000.00","6,249.45","5,995.00","2.43M","2.73%"
"26/06/2024","6,070.05","6,063.50","6,094.65","6,025.30","391.65K","-0.14%"
"25/06/2024","6,078.40","6,090.00","6,095.20","6,016.05","395.50K","0.39%"
"24/06/2024","6,054.95","5,998.00","6,100.00","5,973.00","324.91K","0.72%"
"21/06/2024","6,011.45","5,971.00","6,055.00","5,955.15","430.10K","0.68%"
"20/06/2024","5,970.80","5,925.00","5,996.00","5,888.00","497.95K","0.25%"
