"Date","Price","Open","High","Low","Vol.","Change %"
"31/07/2024","1,719.35","1,702.10","1,730.95","1,695.20","1.59M","1.04%"
"30/07/2024","1,701.60","1,716.10","1,725.45","1,697.00","1.53M","-1.26%"
"29/07/2024","1,723.25","1,715.25","1,728.75","1,692.75","3.19M","0.53%"
"26/07/2024","1,714.25","1,670.45","1,723.80","1,665.00","4.59M","2.91%"
"25/07/2024","1,665.80","1,614.85","1,681.30","1,602.20","5.33M","2.86%"
"24/07/2024","1,619.45","1,602.00","1,624.95","1,592.00","2.92M","1.11%"
"23/07/2024","1,601.60","1,587.00","1,605.65","1,574.30","1.50M","0.90%"
"22/07/2024","1,587.35","1,555.05","1,589.50","1,555.05","826.64K","1.19%"
"19/07/2024","1,568.65","1,584.70","1,589.75","1,565.15","1.65M","-1.61%"
"18/07/2024","1,594.25","1,575.00","1,596.60","1,570.25","1.67M","0.95%"
"16/07/2024","1,579.30","1,589.00","1,595.00","1,574.95","688.48K","-0.43%"
"15/07/2024","1,586.20","1,579.95","1,594.70","1,577.30","832.80K","0.56%"
"12/07/2024","1,577.30","1,582.00","1,587.35","1,550.00","1.43M","-0.28%"
"11/07/2024","1,581.75","1,601.00","1,602.50","1,572.30","1.71M","-1.05%"
"10/07/2024","1,598.55","1,592.80","1,601.15","1,567.60","1.90M","0.83%"
"09/07/2024","1,585.40","1,564.80","1,589.90","1,549.80","1.49M","1.86%"
"08/07/2024","1,556.40","1,570.60","1,574.80","1,550.95","1.12M","-0.77%"
"05/07/2024","1,568.40","1,562.00","1,574.75","1,557.00","2.48M","0.67%"
"04/07/2024","1,557.90","1,535.00","1,571.00","1,526.00","2.63M","1.56%"
"03/07/2024","1,533.95","1,519.35","1,536.25","1,498.30","1.06M","0.65%"
"02/07/2024","1,524.05","1,514.00","1,534.90","1,508.25","1.34M","0.26%"
"01/07/2024","1,520.10","1,520.85","1,530.00","1,503.85","1.45M","-0.05%"
"28/06/2024","1,520.85","1,520.00","1,538.95","1,515.60","2.63M","0.30%"
"27/06/2024","1,516.25","1,525.00","1,528.05","1,505.00","3.88M","-0.32%"
"26/06/2024","1,521.15","1,502.00","1,528.90","1,495.25","2.56M","1.06%"
"25/06/2024","1,505.20","1,498.05","1,508.00","1,492.30","1.83M","0.72%"
"24/06/2024","1,494.50","1,475.05","1,502.90","1,475.05","3.73M","1.86%"
"21/06/2024","1,467.25","1,480.10","1,488.00","1,460.90","4.43M","-0.25%"
"20/06/2024","1,471.00","1,487.95","1,487.95","1,467.00","4.17M","-2.19%"
"19/06/2024","1,504.00","1,524.95","1,529.85","1,500.00","1.54M","-1.11%"
